
2026-08-06 00:55:46.963 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.963 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 2
2026-08-06 00:55:46.963 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x000550f8' type='259' header_size='16' size='24'>
2026-08-06 00:55:46.963 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 3
2026-08-06 00:55:46.963 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.963 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 3
2026-08-06 00:55:46.963 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x00055110' type='258' header_size='16' size='56'>
2026-08-06 00:55:46.963 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 2
2026-08-06 00:55:46.963 | DEBUG    | androguard.core.axml:__init__:1167 - START_TAG: action (line=6232)
2026-08-06 00:55:46.963 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 0
2026-08-06 00:55:46.963 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 0
2026-08-06 00:55:46.964 | DEBUG    | androguard.core.axml:getAttributeName:997 - 0
2026-08-06 00:55:46.964 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 0
2026-08-06 00:55:46.964 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 0
2026-08-06 00:55:46.964 | DEBUG    | androguard.core.axml:getAttributeValue:1052 - 0
2026-08-06 00:55:46.964 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}name='b'android.intent.action.TIME_SET''
2026-08-06 00:55:46.964 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.964 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 2
2026-08-06 00:55:46.964 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x00055148' type='259' header_size='16' size='24'>
2026-08-06 00:55:46.964 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 3
2026-08-06 00:55:46.964 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.964 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 3
2026-08-06 00:55:46.964 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x00055160' type='258' header_size='16' size='56'>
2026-08-06 00:55:46.965 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 2
2026-08-06 00:55:46.965 | DEBUG    | androguard.core.axml:__init__:1167 - START_TAG: action (line=6233)
2026-08-06 00:55:46.965 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 0
2026-08-06 00:55:46.965 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 0
2026-08-06 00:55:46.965 | DEBUG    | androguard.core.axml:getAttributeName:997 - 0
2026-08-06 00:55:46.965 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 0
2026-08-06 00:55:46.965 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 0
2026-08-06 00:55:46.965 | DEBUG    | androguard.core.axml:getAttributeValue:1052 - 0
2026-08-06 00:55:46.965 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}name='b'android.intent.action.TIMEZONE_CHANGED''
2026-08-06 00:55:46.965 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.966 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 2
